CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0190,0.9997363835263481
C0001,C0048,0.9995398666783878
C0001,C0181,0.9980155131298303
C0002,C0088,0.9976979179070131
C0002,C0092,0.9972971351819396
C0002,C0134,0.9965997525413427
C0003,C0052,0.9998861208939336
C0003,C0031,0.998942560682607
C0003,C0158,0.9980722701588003
C0004,C0155,0.9984144973774262
C0004,C0165,0.9967280761519665
C0004,C0087,0.9956337498273938
C0005,C0186,0.9998422314079605
C0005,C0007,0.9993770871840076
C0005,C0140,0.997558340061983
C0006,C0168,0.9987720911275552
C0006,C0187,0.9977676881247708
C0006,C0011,0.9973310332297151
C0007,C0005,0.9993770871840076
C0007,C0115,0.9993649658029666
C0007,C0186,0.998592558928147
C0008,C0065,0.9852693137142516
C0008,C0059,0.9813593825854239
C0008,C0160,0.9584188687176719
C0009,C0062,0.9988091045990635
C0009,C0198,0.9975618866462608
C0009,C0061,0.9966962035917087
C0010,C0111,0.9977062240637763
C0010,C0062,0.9976700829699153
C0010,C0061,0.9972749071912521
C0011,C0137,0.9997038704295408
C0011,C0191,0.9989868171581738
C0011,C0174,0.9986686526790409
C0012,C0113,0.9979665886353554
C0012,C0163,0.9976012865385733
C0012,C0104,0.99642197501794
C0013,C0099,0.9980925364943039
C0013,C0108,0.9979592338648072
C0013,C0107,0.9849607938525674
C0014,C0060,0.9998755856038192
C0014,C0089,0.9866834018589915
C0014,C0166,0.9694107411154178
C0015,C0036,0.9964927223325539
C0015,C0131,0.9962846087134307
C0015,C0094,0.9904804536125804
C0016,C0183,0.9999989223775634
C0016,C0067,0.9980260094159504
C0016,C0030,0.9966597862797102
C0017,C0075,0.9973208856656635
C0017,C0041,0.994905725141744
C0017,C0057,0.9933550368786543
C0018,C0117,0.9971043464935262
C0018,C0122,0.9927802023183452
C0018,C0125,0.9922424993471193
C0019,C0081,0.9965732289600888
C0019,C0064,0.9911466951809841
C0019,C0057,0.9899770118845778
C0020,C0050,0.9807200268134743
C0020,C0035,0.9729224348723101
C0020,C0026,0.9649526114370718
